-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.036,  0.148
-183.800, 80.197, 0.034,  0.181
-183.800, 80.196, 0.034,  0.214
-183.800, 80.195, 0.036,  0.247
-183.800, 80.193, 0.041,  0.280
-183.800, 80.190, 0.107,  0.313
-183.800, 80.183, 0.218,  0.346
-183.800, 80.172, 0.366,  0.379
-183.800, 80.156, 0.458,  0.412
-183.800, 80.139, 0.539,  0.445
-183.800, 80.117, 0.662,  0.478
-183.800, 80.093, 0.682,  0.511
-183.800, 80.067, 0.776,  0.544
-183.800, 80.041, 0.815,  0.577
-183.800, 80.011, 0.906,  0.610
-183.800, 79.980, 0.954,  0.643
-183.800, 79.944, 1.072,  0.676
-183.800, 79.908, 1.106,  0.709
-183.800, 79.871, 1.120,  0.742
-183.800, 79.833, 1.135,  0.775
-183.800, 79.795, 1.151,  0.808
-183.800, 79.757, 1.167,  0.841
-183.800, 79.718, 1.183,  0.874
-183.800, 79.678, 1.199,  0.907
-183.800, 79.638, 1.214,  0.940
-183.800, 79.598, 1.230,  0.973
-183.800, 79.557, 1.244,  1.006
-183.800, 79.515, 1.259,  1.039
-183.800, 79.473, 1.272,  1.072
-183.800, 79.430, 1.285,  1.105
-183.800, 79.387, 1.298,  1.138
-183.800, 79.344, 1.310,  1.171
-183.800, 79.300, 1.321,  1.204
-183.800, 79.256, 1.331,  1.237
-183.800, 79.211, 1.341,  1.270
-183.800, 79.166, 1.351,  1.303
-183.800, 79.121, 1.360,  1.336
-183.800, 79.076, 1.368,  1.369
-183.800, 79.030, 1.377,  1.402
-183.800, 78.984, 1.384,  1.435
-183.800, 78.938, 1.392,  1.468
-183.800, 78.891, 1.399,  1.501
-183.800, 78.844, 1.406,  1.534
-183.800, 78.797, 1.413,  1.567
-183.800, 78.750, 1.420,  1.600
-183.800, 78.703, 1.427,  1.633
-183.800, 78.655, 1.434,  1.666
-183.800, 78.607, 1.440,  1.699
-183.800, 78.559, 1.447,  1.732
